week,total_orders,total_return_proxy,avg_delivery_delay,return_rate
2018-05-14,1837.0,240.0,-8.009418282548477,0.130647795318454
2018-05-21,954.0,103.0,-13.605738575982997,0.10796645702306079
2018-05-28,1083.0,106.0,-26.003720930232557,0.09787626962142197
2018-06-04,1438.0,182.0,-22.21956368754398,0.12656467315716272
2018-06-11,1514.0,159.0,-17.064128256513026,0.10501981505944517
2018-06-18,1457.0,133.0,-17.38002773925104,0.091283459162663
2018-06-25,1401.0,147.0,-17.484760522496373,0.10492505353319058
2018-07-02,1196.0,105.0,-14.553480475382003,0.08779264214046822
2018-07-09,1001.0,145.0,-10.581275720164609,0.14485514485514486
2018-07-16,1678.0,186.0,-11.120072771376591,0.11084624553039332
2018-07-23,1646.0,169.0,-10.632919254658384,0.10267314702308628
2018-07-30,2058.0,286.0,-7.276723276723277,0.13896987366375121
2018-08-06,1988.0,251.0,-7.713102019678923,0.12625754527162977
2018-08-13,1875.0,163.0,-9.223491027732463,0.08693333333333333
2018-08-20,1071.0,90.0,-9.044592030360532,0.08403361344537816
